distance_bin,P_t_dB,MCS,numerology,protocol_type,num_lanes,success,PIR,cumulative_PDR,cumulative_PIR
30.0,23,11,0,2,4,0.9992936701983157,0.10007068290561114,0.9996015565632593,0.10003986502110689
30.0,23,11,0,2,6,0.9976042730343256,0.10024014802566829,0.9983441945842824,0.10016589916114856
40.0,23,4,0,0,2,0.9930262731106065,0.10070227012902173,0.9965131365553033,0.10035113506451088
40.0,23,4,0,0,4,0.9917514917514918,0.10083171120155725,0.996007371007371,0.10040153882403498
40.0,23,4,0,0,6,0.9823012369247902,0.10180176532512754,0.9906565851696214,0.10094719591945142
40.0,23,4,0,2,2,0.99977856510186,0.10002214839424142,0.99988928255093,0.10001107419712071
40.0,23,4,0,2,4,0.9950750200435231,0.10049493554327808,0.9972798075821785,0.10027299479499335
40.0,23,4,0,2,6,0.9787089187349136,0.10217542528299502,0.9898789311147377,0.10102806633647532
40.0,23,11,0,0,2,1.0,0.1,1.0,0.1
40.0,23,11,0,0,4,0.99656684096551,0.10034449862200552,0.9980074963278037,0.10019987807545774
40.0,23,11,0,0,6,0.9928581403235781,0.10071932327352369,0.9970420989942262,0.1002973600821407
40.0,23,11,0,2,2,0.9996736292428199,0.1000326477309827,0.9998368146214099,0.10001632386549135
40.0,23,11,0,2,4,0.999293439860862,0.10007070597193517,0.9995245273876601,0.10004757525881394
40.0,23,11,0,2,6,0.9969835438879431,0.10030255826493321,0.9980720644450145,0.1001932309819055
50.0,23,4,0,0,4,0.9886802386802387,0.10114493654033904,0.9945419445419447,0.10055021836729579
50.0,23,4,0,0,6,0.9757169005491153,0.1024887443721861,0.9881666377328703,0.10120412066157387
50.0,23,4,0,2,4,0.9923261940213034,0.10077331486611266,0.9962890848700034,0.10037305880921721
50.0,23,4,0,2,6,0.9750329753156208,0.10256063387766935,0.9874046051482183,0.10128349426000766
50.0,23,11,0,0,4,0.9966116052520119,0.1003399915002125,0.9977283181126453,0.10022790076040869
50.0,23,11,0,0,6,0.9905689264498745,0.10095208655332304,0.9959632369035009,0.10040648116067108
50.0,23,11,0,2,4,0.9990213668243354,0.10009795918367347,0.9994238952749951,0.10005765204378585
50.0,23,11,0,2,6,0.9961527892278098,0.10038620689655173,0.9977521852421471,0.10022539363434653
60.0,23,4,0,0,2,0.9938371715861174,0.1006201044386423,0.9956211482322413,0.10044079152255468
60.0,23,4,0,0,4,0.9862232362232363,0.10139692143429131,0.9931554931554931,0.10069133554512838
60.0,23,4,0,0,6,0.9671259842519685,0.1033991451251781,0.9851608300927416,0.10151769558494592
60.0,23,4,0,2,2,0.9994464127546502,0.10005538938739338,0.9997416592855034,0.1000258459272116
60.0,23,4,0,2,4,0.9901500400870462,0.10099479467900521,0.9952659107395107,0.10047668145418187
60.0,23,4,0,2,6,0.9698012656822471,0.10311390955924443,0.9848898423673652,0.10154498215989863
