distance_bin,P_t_dB,MCS,numerology,protocol_type,beta,PDR,PIR,cumulative_PDR,cumulative_PIR
100,23,4,0,NRV2X,0.1,0.9666388151997953,0.1034512564854236,0.982912178680398,0.10175182826440218
100,23,4,0,NRV2X,0.15,0.9299660758878723,0.10753080417963246,0.9640034921385695,0.1037991956256861
100,23,4,0,SPC6G,0.05,0.9967209200150716,0.10032898677243364,0.9982281121398007,0.10017761845352018
100,23,4,0,SPC6G,0.1,0.9853445794529521,0.10148733964266433,0.992512518919488,0.10075689762783031
100,23,4,0,SPC6G,0.15,0.9590809632890992,0.1042664840902036,0.9790507359869787,0.10216098348595049
100,23,11,0,NRV2X,0.05,0.9936483929857084,0.10063922078062305,0.9967508809025494,0.10032643600929733
100,23,11,0,NRV2X,0.1,0.9857292224856562,0.10144773809975503,0.9927877203024235,0.10072894705818089
100,23,11,0,NRV2X,0.15,0.9734097567046606,0.10273165982898681,0.9865690201038708,0.10137034568287777
100,23,11,0,SPC6G,0.05,0.9991529943527859,0.10008477236739532,0.9995670375976949,0.10004332319404856
100,23,11,0,SPC6G,0.1,0.9964376239249845,0.10035751119683571,0.9982021348834159,0.10018026235069584
100,23,11,0,SPC6G,0.15,0.9906585318545141,0.10094295540240275,0.995292057350872,0.10047409867200348
125,23,4,0,NRV2X,0.05,0.9838773061170597,0.10163868947710256,0.9913909267990108,0.10087111234177222
125,23,4,0,NRV2X,0.1,0.9592016514803504,0.10425336512470396,0.9789604241470569,0.10216875107445249
125,23,4,0,NRV2X,0.15,0.9147095006200732,0.10932432639238022,0.9557878268854868,0.10472005075346845
125,23,4,0,SPC6G,0.05,0.9959701624183135,0.10040461428803266,0.9978517871862195,0.10021545109260559
125,23,4,0,SPC6G,0.1,0.9820386644226363,0.10182898456324259,0.990766876503346,0.10093557878373237
125,23,4,0,SPC6G,0.15,0.9499952967771227,0.10526367903004565,0.974208162785336,0.10267809940996635
125,23,11,0,NRV2X,0.05,0.9915636674546325,0.1008508109788879,0.9958863453278965,0.10041383183756243
125,23,11,0,NRV2X,0.1,0.9810385806481516,0.10193279038417848,0.9908295303600448,0.10092958761251382
125,23,11,0,NRV2X,0.15,0.9649628904035414,0.10363092818852405,0.9829679984871493,0.10174710943381882
125,23,11,0,SPC6G,0.05,0.9988739770824699,0.10011272922744659,0.9994515275118241,0.10005489086628157
125,23,11,0,SPC6G,0.1,0.9952582920594655,0.10047642988542428,0.9977114944127575,0.10022962360648391
125,23,11,0,SPC6G,0.15,0.9876563879911595,0.10124978810028727,0.9940194457909199,0.10060338024338411
150,23,4,0,NRV2X,0.05,0.9807912116663042,0.10195849923054075,0.9898766817800526,0.10102645332588202
150,23,4,0,NRV2X,0.1,0.9515770714930513,0.10508870273965007,0.975048516625056,0.10258588702662357
150,23,4,0,NRV2X,0.15,0.8978854080427918,0.111372786665483,0.9475160527651019,0.10567044159804195
150,23,4,0,SPC6G,0.05,0.9951931575796433,0.1004830059756487,0.9974719829567086,0.1002536732187546
150,23,4,0,SPC6G,0.1,0.9786344171391633,0.1021832037057612,0.9890336680227485,0.10111381091545077
150,23,4,0,SPC6G,0.15,0.9399012807039331,0.10639415229342558,0.9693071796308498,0.10320896410760337
150,23,11,0,NRV2X,0.05,0.9883439071483352,0.10117935596783272,0.9948088541593878,0.10052319242760104
150,23,11,0,NRV2X,0.1,0.9738519917141935,0.10268500845182647,0.9884041676963518,0.10118036201812992
150,23,11,0,NRV2X,0.15,0.9523608737693648,0.10500221371359825,0.9785955520988944,0.10221212433093016
150,23,11,0,SPC6G,0.05,0.9984420880814603,0.10015603427951773,0.9993073218789149,0.1000693399253153
150,23,11,0,SPC6G,0.1,0.993443341786378,0.10065999317100782,0.9971017583232747,0.10029110497284446
150,23,11,0,SPC6G,0.15,0.9831458124155342,0.10171431209609244,0.9924660695944363,0.10076208479377101
175,23,4,0,NRV2X,0.05,0.9762630163418765,0.10243141277102431,0.9881749736002806,0.1012020732565248
175,23,4,0,NRV2X,0.1,0.9419760007017199,0.10615981715617546,0.970914452134639,0.10303262829281756
175,23,4,0,NRV2X,0.15,0.8813344131063248,0.11346430879459593,0.9392433478077548,0.1066446749976112
175,23,4,0,SPC6G,0.05,0.9940497840282073,0.10059858329707397,0.9970442080906459,0.10029678697854452
175,23,4,0,SPC6G,0.1,0.9743258603799643,0.10263506704112559,0.9871951920674005,0.10130396793116012
175,23,4,0,SPC6G,0.15,0.9298928266295784,0.10753927456613759,0.9643803855056909,0.10375025291492014
175,23,11,0,NRV2X,0.05,0.9834778231937398,0.10167997451661963,0.9933924752886818,0.10066779018872836
175,23,11,0,NRV2X,0.1,0.9643511796829827,0.1036966637328879,0.9853975441946806,0.10149489973247466
175,23,11,0,NRV2X,0.15,0.9340410679441948,0.1070616736586304,0.973026241579557,0.10281831799689269
175,23,11,0,SPC6G,0.05,0.9977871391288402,0.100221776848426,0.9991172990351556,0.10008839454070415
