distance_bin,P_t_dB,MCS,numerology,protocol_type,num_lanes,success,PIR,cumulative_PDR,cumulative_PIR
0.0,23,4,0,0,4,0.9991645781119465,0.10008361204013379,0.9991645781119465,0.10008361204013379
0.0,23,4,0,2,4,0.9995300261096606,0.10004701948696516,0.9995300261096606,0.10004701948696516
0.0,23,11,0,0,4,0.9988695846996761,0.10011316945851984,0.9988695846996761,0.10011316945851984
0.0,23,11,0,2,4,0.9998303503265756,0.10001696784593196,0.9998303503265756,0.10001696784593196
10.0,23,4,0,0,4,0.9971246642608396,0.10028836271353211,0.998144621186393,0.10018598737683296
10.0,23,4,0,2,4,0.9977329250342599,0.10022722262730402,0.9986314755719603,0.1001371210571346
10.0,23,11,0,0,4,0.9974035302282467,0.10026032289771014,0.9981365574639613,0.10018674617811499
10.0,23,11,0,2,4,0.999520357056305,0.10004798731114468,0.9996753536914403,0.10003247757853832
20.0,23,4,0,0,4,0.9922201682499827,0.1007840832104571,0.9961698035409229,0.10038535265470767
20.0,23,4,0,2,4,0.9957885852574647,0.10042292257662769,0.9976838454671283,0.10023238823029895
20.0,23,11,0,0,4,0.9952767731863007,0.10047456415551408,0.9971832960380745,0.10028268550391468
20.0,23,11,0,2,4,0.9991004513164252,0.10009003585999682,0.9994837195664353,0.10005166367235781
30.0,23,4,0,0,4,0.9899876313960205,0.10101136299954179,0.9946242605046973,0.1005418552409162
30.0,23,4,0,2,4,0.9927881760024435,0.10072642122175504,0.9964599281009572,0.10035589647816298
30.0,23,11,0,0,4,0.9934009009743702,0.10066429364208923,0.9962376972721484,0.10037808753845832
30.0,23,11,0,2,4,0.9984788034159012,0.10015235141486176,0.9992324905288018,0.1000768356079838
40.0,23,4,0,0,4,0.9868613557474397,0.10133135664660911,0.9930716795532458,0.10069975552205479
40.0,23,4,0,2,4,0.9908723701274564,0.10092117109606856,0.995342416506257,0.1004689514017441
40.0,23,11,0,0,4,0.9908217869087435,0.10092632330178081,0.9951545151994674,0.10048773469112282
40.0,23,11,0,2,4,0.9980759382908168,0.10019277708592778,0.9990011800812049,0.1001000239035726
50.0,23,4,0,0,4,0.9833781953939181,0.10169027589628664,0.9914560988600245,0.10086484225109342
50.0,23,4,0,2,4,0.988870281865051,0.10112549829224901,0.9942637273993894,0.1005783758834949
50.0,23,11,0,0,4,0.9888243060387095,0.10113020016731396,0.994099480339341,0.10059481227048801
50.0,23,11,0,2,4,0.9976750282073784,0.10023303898833663,0.9987801547689004,0.10012219308436661
60.0,23,4,0,0,4,0.9806025016709634,0.10197812042045405,0.989905584975873,0.1010238819895735
60.0,23,4,0,2,4,0.9868048146172312,0.10133716264729485,0.9931981684305097,0.10068677399260918
