distance_bin,P_t_dB,MCS,numerology,protocol_type,num_lanes,success,PIR,cumulative_PDR,cumulative_PIR
90.0,23,4,0,0,4,0.8724580431813821,0.11461869230450802,0.9479398167950587,0.10570548716179969
90.0,23,4,0,2,4,0.9452368600523441,0.10579358912692247,0.9764093828633476,0.10245203906915987
90.0,23,11,0,0,4,0.8988364066215185,0.11125495058202281,0.9578003200461399,0.10453634085230575
90.0,23,11,0,2,4,0.9774911256665033,0.10230271904700404,0.9902107234323712,0.10099374114118394
100.0,23,4,0,0,4,0.8567967698519515,0.11671379202010683,0.9396540852547762,0.1067062421489185
100.0,23,4,0,2,4,0.9387145903137374,0.106528652086443,0.9729825835406557,0.10282264025254925
100.0,23,11,0,0,4,0.8779415097487903,0.11390280433216274,0.9505404282009263,0.10538783753229275
100.0,23,11,0,2,4,0.9733319132201612,0.10273987592697031,0.9886762861403521,0.10115248066716451
110.0,23,4,0,0,4,0.835803373383825,0.11964536538676677,0.9309998592655302,0.1077845024187392
110.0,23,4,0,2,4,0.9280608375227369,0.10775155674807803,0.9692391047058292,0.10323338329384331
110.0,23,11,0,0,4,0.859796490499429,0.11630659243783738,0.9429784333924682,0.10629773377442146
110.0,23,11,0,2,4,0.9694855451855224,0.10314748940466548,0.9870770577274497,0.10131873139528959
120.0,23,4,0,0,4,0.8219093034622141,0.12166792561996755,0.9226082780498905,0.10885245804960292
120.0,23,4,0,2,4,0.9227811883284053,0.10836805221522501,0.9656654188306427,0.10362835782625729
120.0,23,11,0,0,4,0.8452210279522538,0.11831224814918939,0.9354586329739902,0.10722192718786515
120.0,23,11,0,2,4,0.9654617845469087,0.1035773777901836,0.9854143444058695,0.10149247342566606
130.0,23,4,0,0,4,0.7993850360518686,0.12509616203712806,0.9138066179071747,0.11001272262014042
130.0,23,4,0,2,4,0.9139814123872193,0.10941141542343948,0.961973704084684,0.10404143336891315
130.0,23,11,0,0,4,0.8211082568038567,0.12178662091311504,0.9272907489618378,0.10826226245395443
130.0,23,11,0,2,4,0.9607183488663396,0.10408877910784294,0.9836503447244745,0.10167792383153583
140.0,23,4,0,0,4,0.7794329557751182,0.12829839854609892,0.9048483737650376,0.111231767681871
140.0,23,4,0,2,4,0.9031404082353981,0.11072475452115482,0.9580514843613982,0.10448698811239594
140.0,23,11,0,0,4,0.8004673913043479,0.12492701275070271,0.9188358584513385,0.10937324580707099
140.0,23,11,0,2,4,0.9555828169585826,0.10464817724357874,0.9817791762067484,0.10187594072567202
150.0,23,4,0,0,4,0.7652306752215093,0.13067954962868322,0.8961222676060671,0.11244725405354676
150.0,23,4,0,2,4,0.9005095449236716,0.11104823992562582,0.9544551131465403,0.10489706635072281
150.0,23,11,0,0,4,0.7833691348944407,0.1276537401661543,0.9103691882290323,0.11051577670451368
150.0,23,11,0,2,4,0.9510619755339025,0.10514561886869939,0.9798593511646956,0.10208029560961124
160.0,23,4,0,0,4,0.7413554702389998,0.1348880584475377,0.8870183383491808,0.11376730137084035
160.0,23,4,0,2,4,0.887117522593021,0.11272463619893637,0.950494078408098,0.10535751163591184
160.0,23,11,0,0,4,0.7556774468233437,0.13233159256025437,0.9012696740286978,0.11179905999014549
160.0,23,11,0,2,4,0.9422386422990782,0.10613022594360842,0.9776463682902474,0.10231852680572871
170.0,23,4,0,0,4,0.7129781747343685,0.140256747743024,0.8773494403705802,0.1152389372804061
170.0,23,4,0,2,4,0.8734682784062472,0.1144861267113931,0.946214867296884,0.10586465691788302
170.0,23,11,0,0,4,0.7323524104117792,0.1365462836993642,0.8918853816055355,0.11317390575176874
170.0,23,11,0,2,4,0.9328576297893978,0.1071974938154025,0.9751581050402002,0.10258958052848838
180.0,23,4,0,0,4,0.70379567748861,0.1420866924855735,0.8682150317978449,0.11665197702804649
180.0,23,4,0,2,4,0.8675092394914894,0.11527254748158915,0.9420724658334422,0.10635980905281493
180.0,23,11,0,0,4,0.7063710062229123,0.14156866451061925,0.8821214671117134,0.11466836673907667
180.0,23,11,0,2,4,0.9229169215710266,0.10835211454328517,0.9724085690681386,0.10289287179242504
190.0,23,4,0,0,4,0.6811065745446471,0.14681990122743255,0.858859608935185,0.1181603732380158
190.0,23,4,0,2,4,0.8568159840028847,0.11671117470617043,0.9378096417419144,0.1068773773354827
190.0,23,11,0,0,4,0.6769510027605854,0.14772117862622713,0.871862943894157,0.1163210073334342
190.0,23,11,0,2,4,0.9081471995387541,0.11011430751621519,0.9691955005916693,0.10325394357861455
200.0,23,4,0,0,4,0.6511524119327198,0.15357387635743333,0.8489687900303057,0.11984673052941662
200.0,23,4,0,2,4,0.8426221775665608,0.11867715170848415,0.9332769053526119,0.10743927135324467
200.0,23,11,0,0,4,0.6497462054744272,0.15390624701991557,0.8612859563503603,0.11811078065183807
200.0,23,11,0,2,4,0.8918275905247742,0.11212929613576705,0.9655113143980076,0.10367657941466943
210.0,23,4,0,0,4,0.6449416782773589,0.15505277976002466,0.8396948304051718,0.12144700549444427
210.0,23,4,0,2,4,0.8345874778077139,0.11981967458064313,0.9287910222823892,0.10800201695449005
210.0,23,11,0,0,4,0.6270027197273235,0.1594889413613531,0.8506367183220405,0.11999160613863422
